,job title,company,location,applicants,days ago,body,seniority level,employment type,function,industry,links
724,Senior Data Engineer,TPS Group,"Sunnyvale, CA",Be among the first 25 applicants,,"Senior Data Engineer - Datacenter Industry
Location: Sunnyvale, CA
Pay Rate: DOE
Start Date: ASAP
6 month Contract (Potential to extend or get converted)",Mid-Senior level,Contract,Information Technology,Internet,https://www.linkedin.com/jobs/view/senior-data-engineer-at-tps-group-1890335849?refId=52177222-8942-4679-bd74-3832e5e8358c&position=1&pageNum=29&trk=public_jobs_job-result-card_result-card_full-click
725,Engineering Lead,Morris Media Network,"San Mateo, CA",Be among the first 25 applicants,2 weeks ago,"Description

Position at Jobvite

Jobvite, Inc. seeks Engineering Lead to develop large-scale, high- transactional, B2B web-based recruiting software applications.






Worksite: San Mateo, CA

4966 El Camino Real, Suite 200, Los Altos, CA 94022 | T: 650.617.8888 | www.rosecarson.com

Requires Bachelor’s degree or the equivalent and five (5) years of experience.",Associate,Full-time,Engineering,Information Technology,https://www.linkedin.com/jobs/view/engineering-lead-at-morris-media-network-1910946122?refId=52177222-8942-4679-bd74-3832e5e8358c&position=2&pageNum=29&trk=public_jobs_job-result-card_result-card_full-click
726,Data Analytics Engineer,Nokia,"New York, NY",Be among the first 25 applicants,4 weeks ago,"Nokia is a global leader in the technologies that connect people and things. With state-of-the-art software, hardware and services for any type of network, Nokia is uniquely positioned to help communication service providers, governments, and large enterprises deliver on the promise of 5G, the Cloud and the Internet of Things.

Serving customers in over 100 countries, our research scientists and engineers continue to invent and accelerate new technologies that will increasingly transform the way people and things communicate and connect.

We are searching for a data engineer / analyst to engage in the research and development of silicon photonics integrated circuit technology, as well as supporting production activities. The candidate will take responsibility for the development and deployment of new data analysis tools and infrastructure, which is vital in handling live data streams from our global production lines and other sources and enabling critical integration and automation across data pipelines and platforms.

An ideal candidate would have a strong programming background, experience in data engineering, and the ability to understand the physics / engineering behind the data. As a member of our silicon photonics R&D team, you’ll be working within the data analytics team and alongside experienced silicon photonics and RFIC designers and test engineers with strong records of delivering innovative photonic device designs & large-scale silicon photonics circuits.










Nokia is an equal opportunity employer that is committed to diversity and inclusion.

At Nokia, employment decisions are made regardless of race, color, national or ethnic origin, religion, gender, sexual orientation, gender identity or expression, age, marital status, disability, protected veteran status or other characteristics protected by law.



Data Science & Analytics - Data Scientist



North Americas-United States-New York-New York



Full-time",Not Applicable,Full-time,Information Technology,Information Technology and Services,https://www.linkedin.com/jobs/view/data-analytics-engineer-at-nokia-1887410605?refId=52177222-8942-4679-bd74-3832e5e8358c&position=3&pageNum=29&trk=public_jobs_job-result-card_result-card_full-click
727,Senior Data Architecture & Engineering Lead,Market Leader,"Bellevue, WA",,4 days ago,"Market Leader is looking for a motivated Data Architect and Engineer to help shape and drive the future of our web and mobile products. You will be the leader for all engineering aspects related to data, including data architecture, data design, data development, toolsets and processes.  ",Mid-Senior level,Full-time,Engineering,Information Technology,https://www.linkedin.com/jobs/view/senior-data-architecture-engineering-lead-at-market-leader-1881135035?refId=52177222-8942-4679-bd74-3832e5e8358c&position=4&pageNum=29&trk=public_jobs_job-result-card_result-card_full-click
728,Machine Learning/Data Engineer,General Mills,"Minneapolis, MN",Be among the first 25 applicants,1 month ago,"Who We Are

Company Overview

We’re passionate about food and driven by data.

Do you want to impact our future through data, analytics and innovative technology? Do you thrive on leading big things and making it happen? Bring your passion, expertise and problem-solving skills to the table and make an impact.

General Mills is reshaping the future, and technology & data play an important role for us. Your technology experience will help us get the right data and solutions at the right time, every time. As one of the world’s leading food companies,
General Mills operates across the globe with more than 100 recognizable consumer brands, including: Cheerios, LÄRABAR, Pillsbury, Yoplait, Annie’s Homegrown, Totino’s, Epic Provisions and Blue Buffalo.







As a Machine Learning / Data Engineer, you will work closely with a multidisciplinary agile team to build high quality data pipelines driving analytic solutions. These solutions will generate insights from our connected data, enabling General Mills to advance the data-driven decision-making capabilities of our enterprise. This role requires deep understanding of data architecture, data engineering, data analysis, reporting, and a basic understanding of data science techniques and workflows. This team is amid transitioning data engineers into machine learning engineers. In addition, we are moving from Hadoop to Google Cloud.












Apply Now! Apply

Share

Sorry the Share function is not working properly at this moment. Please refresh the page and try again later.

Share on your newsfeed



Not ready to apply? Connect with us .

Socialize this job opportunity to a friend, colleague, or family member:",Entry level,Full-time,Information Technology,Marketing and Advertising,https://www.linkedin.com/jobs/view/machine-learning-data-engineer-at-general-mills-1872925525?refId=52177222-8942-4679-bd74-3832e5e8358c&position=5&pageNum=29&trk=public_jobs_job-result-card_result-card_full-click
729,Data Engineer,Arrive,"Chicago, IL",,7 days ago,"Data Engineering is the foundational layer of our Data & Analytics stack at Arrive. Data Engineers not only build and optimize data pipelines that transform and store data in a way that allows the rest of the organization (analysts, data scientists, other stakeholders) analyze and consume data. They are also in charge of building the systems and establishing the processes to enable the rest of the data team to develop, test, and deploy analyses and code in an efficient and scalable way.

We’re looking for an experienced Data Engineer to help us grow our data infrastructure and platform. If you're seeking a role that is high impact and full of ownership....please read on.

Please note...we are fully open to remote candidates for this position! Being in Chicago would be great, but not necessary.

What you'll tackle
What you bring to the table",Entry level,Full-time,Information Technology,Information Technology and Services,https://www.linkedin.com/jobs/view/data-engineer-at-arrive-1905692433?refId=52177222-8942-4679-bd74-3832e5e8358c&position=6&pageNum=29&trk=public_jobs_job-result-card_result-card_full-click
730,Manufacturing Engineer,FOX Factory,"San Diego, CA",,7 days ago,"Position Overview

Plans and coordinates manufacturing processes. Develops and improves manufacturing processes by studying product and manufacturing methods.",Entry level,Full-time,Engineering,Information Technology,https://www.linkedin.com/jobs/view/manufacturing-engineer-at-fox-factory-1904468144?refId=52177222-8942-4679-bd74-3832e5e8358c&position=7&pageNum=29&trk=public_jobs_job-result-card_result-card_full-click
731,Machine Learning / Data Engineer,eBay,"San Jose, CA",Over 200 applicants,3 weeks ago,"Do you want to have a huge impact on eBay’s eCommerce business? Are you interested in solving business problems using Big Data technologies across a variety of eBay advertising channels? If you answered yes, the Marketing Science team at eBay is the right place for you. We are looking for rockstar Data Engineers to join our team.  You will be responsible for improving data solutions behind eBay's algorithms that drive customer traffic via Marketing channels. You will work with cutting-edge ML algorithms and platforms and one of the biggest datasets in the world. You’ll work with world-class data scientists and engineers. You’ll solve problems that have a direct impact on a multi-billion dollar business. Bring your ideas, energy, and dedication to reach and engage the next 100M eBay users.

Responsibilities:
Work with data scientists, engineers, and cross functional teams to produce high performance, scalable data engineering solutions

Develop data infrastructure to ingest and transform data from different sources at scale

Design and deploy (at production scale) useful features of eBay’s users and inventory from diverse data sources, including structured and unstructured data

Build and maintain batch and streaming data pipelines to discover relevant and interesting signals

Support integration and production deployments of machine learning models and pipelines in variety of platforms

Propose and implement data engineering improvements to improve ML model performance and drive business results


Requirements:
At least 4+ years of industry experience writing production level code (e.g., Python, Scala, PySpark, Java) 

Bachelor’s or Master’s in a relevant field, e.g. Computer Science, Applied Mathematics, Data Science, Electrical/Computer Engineering, Physics, other Engineering fields

Fluent in coding in at least one of the above languages; excellent understanding of computer science fundamentals, data structures, and algorithms. 

Familiar with software design patterns

Knowledge of SQL (SparkSQL) is required

Expert knowledge of modern data storage and messaging platforms and processing tools (Kafka, Spark, Hive, Hadoop, MapReduce, etc.)

Experience with streaming technologies (e.g. Spark streaming, Storm) and designing large scale streaming data pipelines using Flink and Kafka

Experience with DevOps technologies such as Docker and Kubernetes

Familiarity with workflow orchestration frameworks (KubeFlow, Airflow, Conductor, etc.)

Applied knowledge of machine learning methodologies and best practices highly preferred

Experience with ML algorithms and frameworks such as Kears, TensorFlow, PyTorch, XGboost, Scikit-learn highly preferred

Experience with Agile software development and CI/CD highly preferred

Strong analytical skills and data-driven decision making

Good verbal, written communication, and technical presentation skills

Self-starter;  able to adapt to emerging challenges and execute under ambiguity",Entry level,Full-time,Information Technology,Marketing and Advertising,https://www.linkedin.com/jobs/view/machine-learning-data-engineer-at-ebay-1877060238?refId=52177222-8942-4679-bd74-3832e5e8358c&position=8&pageNum=29&trk=public_jobs_job-result-card_result-card_full-click
732,Research Associate - R&D,Illumina,"San Mateo, CA",Be among the first 25 applicants,,"We are looking for an outstanding and highly motivated Research Associate candidate to join the Optical Sensing and Architecture group as part of the Research and Technology Development organization at Illumina. You will join an interdisciplinary team conducting scientific research towards developing robust, high-impact genomic analysis platforms.






Illumina believes that everyone has the ability to make an impact, and we are proud to be an equal opportunity employer committed to providing employment opportunity regardless of sex, race, creed, color, gender, religion, marital status, domestic partner status, age, national origin or ancestry, physical or mental disability, medical condition, sexual orientation, pregnancy, military or veteran status, citizenship status, and genetic information. If you have a disability or special need that requires accommodation, please contact us at 858-255-5081. To learn more, visit: https://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf
Illumina believes that everyone has the ability to make an impact, and we are proud to be an equal opportunity employer committed to providing employment opportunity regardless of sex, race, creed, color, gender, religion, marital status, domestic partner status, age, national origin or ancestry, physical or mental disability, medical condition, sexual orientation, pregnancy, military or veteran status, citizenship status, and genetic information. If you require accommodation to complete the application or interview process, please contact accommodations@illumina.com. To learn more, visit: https://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf",Not Applicable,Full-time,Research,Analyst,https://www.linkedin.com/jobs/view/research-associate-r-d-at-illumina-1890344809?refId=52177222-8942-4679-bd74-3832e5e8358c&position=9&pageNum=29&trk=public_jobs_job-result-card_result-card_full-click
733,Director of Product Management,ContractPodAi®,United States,Over 200 applicants,1 week ago,ContractPodAi® is one of the fastest growing legal technology start-up businesses in the world. Our proprietary software product brings substantial efficiencies to the legal function of major and international businesses across all sectors. Our customers comprise global brands from all industries and in every continent. We are seeking a Director of Product Management to join our team!,Mid-Senior level,Full-time,Product Management,Marketing,https://www.linkedin.com/jobs/view/director-of-product-management-at-contractpodai%C2%AE-1880942990?refId=52177222-8942-4679-bd74-3832e5e8358c&position=10&pageNum=29&trk=public_jobs_job-result-card_result-card_full-click
734,Systems Analyst IV - Data Engineering,Retail Business Services,"Salisbury, NC",,4 weeks ago,"Position Title:   Systems Analyst IV - Data Engineering 
Position Location:  Salisbury, NC / Quincy, MA / Chicago, IL / Carlisle, PA

Position Summary:  
The Data Science Systems Analyst plays a critical role in the industrialization of data science initiatives across the organization. Engages with Data Science teams through the entire lifecycle of all the projects within Business Intelligence & Analytics department from data modeling, to data engineering, and finally data consumption


• Works with data scientist to design, develop, test, and implement algorithms using the Data & Analytics Platform.
• Solves moderate to complex product errors, as well as designs and resolves product problems, following up in a timely manner with all appropriate customers and IT personnel.
• Develop data engineering processes in azure using components like Azure Data Factory, Azure Data Lake analytics, HDInsights, DataBricks etc.
• Assists in assessing alternative software solutions for workability and technical feasibility.
• Relates information from various sources to draw logical conclusions.
• Assists in identifying the impact of proposed development/enhancements projects.
• Knowledge of data science tools and platforms (preferably Microsoft Azure)
• Knowledge of statistical and predictive modeling concepts and disciplines including machine learning algorithms
• Knowledge of industry-leading practices
• Ability to propose analytic strategies and solutions as a business need
• Analyzing source system data and data flows, working with structured and unstructured data
• Manipulating high-volume, high-dimensionality data from varying sources to highlight patterns, anomalies, relationships and trends
• Must possess the ability to effectively communicate using strong verbal, written and listening skills
• Must be able to adapt quickly to change without being afraid to take on new responsibilities in a fast-paced team environment while being proactive and action-oriented
• Ability to come up with creative technical ways to resolve application and system issues
• Understanding agile development methodologies or concepts; experience with is a plus
• Excellent diagnostic, debugging, and troubleshooting skills
• Working knowledge of any of the following languages: Python, Java, R, SQL, HQL, Gremlin, Cypher
• Delivers SDLC Deliverables as defined.
• Contributes to Business Case Development through information gathering and analysis.


• Bachelor’s degree in Computer Science, Information Systems, Business Administration, or other related field.
• Minimum of 5 years IT experience encompassing the following:
  o Working experience with SDLC and deliverables associated with each phase.
  o Experience in ML algorithms and Advanced SQL techniques
  o Experience engineering data pipelines using latest technologies and techniques
  o Experience in Data Visualization Best Practices
  o Experience working with industry-leading tools and technologies
  o Experience in Azure Cloud technologies
  o Experience in Big Data / Hadoop


• Intellectual curiosity and great data intuition
• The basics: Statistical Analysis, Data Mining and Processing, Programming, Machine Learning, Linear Algebra and Calculus, Data Visualization, Data Wrangling, Software Engineering
• Adept at working with unstructured data
• Outstanding Written and Verbal Communication communications skills; able to articulate complex technical topics for non-technical audiences.
• Ability to analyze complex situations and develop creative solutions.
• Ability to multi-task and self-direct.


• Ability to interact with non IT associates and management on projects.
• Ability to plan and organize work to meet pre-established deadlines.
• Ability to work with their peers, associates and all levels of management.
• Ability to explain technical concepts in a non-technical fashion.
• Strong problem-solving and critical thinking skills; strong deductive and inductive reasoning.


• Ability to work with and influence peers and senior management.
• Ability to work in a fast-paced and deadline-oriented environment.
• Self-motivated with critical attention to detail, deadlines and reporting.


• Experience in a retail environment a plus.",Mid-Senior level,Full-time,Information Technology,Retail,https://www.linkedin.com/jobs/view/systems-analyst-iv-data-engineering-at-retail-business-services-1873825261?refId=52177222-8942-4679-bd74-3832e5e8358c&position=11&pageNum=29&trk=public_jobs_job-result-card_result-card_full-click
735,"Senior Director, Data Analytics Engineering",Northwestern Mutual,"New York, NY",,3 days ago,"At Northwestern Mutual, we are strong, innovative and growing. We invest in our people. We care and make a positive difference.

Northwestern Mutual (NM) has been helping families and businesses achieve financial security for over 161 years. Through a distinctive, whole-picture planning approach including both insurance and investments, we empower people to be financially confident. We combine the expertise of our financial professionals with a personalized digital experience and leading-edge technology to best serve our clients.

Data is a critical driver of this approach and a cornerstone for how NM engages with its customers. To help lead the effort, NM’s Chief Data Officer (CDO) is seeking a highly strategic, analytical, organized, and motivated Senior Director, Data Analytics Engineering to lead and manage teams that aggregate, transform and manage NM’s enterprise data for both descriptive and predictive analytics.

You will lead a team of Data Analytics Engineers and Machine Learning Engineers in NM’s newly formed Core Data & Analytics department (CDA). You will collaborate with Data Scientists, Analytics Analysts, and Business Analysts throughout the organization to help unlock the value of NM’s data through insights, predictive analytics, and operationalized data science. You will lead the development of NM’s Enterprise Data Warehouse, aggregating data from throughout the company into a single customer view. You will lead the development of a Business Intelligence (BI) function that provides self-service tooling that empowers the organization, while providing governed access to canonical data for analytics to ensure consistency of key data entities throughout the enterprise.",Director,Full-time,Business Development,Sales,https://www.linkedin.com/jobs/view/senior-director-data-analytics-engineering-at-northwestern-mutual-1884850084?refId=52177222-8942-4679-bd74-3832e5e8358c&position=12&pageNum=29&trk=public_jobs_job-result-card_result-card_full-click
736,Sr. Manager Engineering,Walmart eCommerce,"Sunnyvale, CA",,3 days ago,"Sr. Manager, Software Engineering
The User Behavior team is a group of determined engineers that handles the tracking and measuring of user behavior activities on the various Walmart/Sam's/ASDA sites. We create large data pipelines that are used by various teams for analytics in order to increase ads revenues and improve the speed and user experience of the sites.",Mid-Senior level,Full-time,Information Technology,Internet,https://www.linkedin.com/jobs/view/sr-manager-engineering-at-walmart-ecommerce-1882726495?refId=52177222-8942-4679-bd74-3832e5e8358c&position=13&pageNum=29&trk=public_jobs_job-result-card_result-card_full-click
737,Data Engineering Manager,Blue Cross and Blue Shield of Kansas City,"Kansas City, MO",Be among the first 25 applicants,4 weeks ago,"Are you interested in learning about healthcare professions and the latest healthcare innovations in the KC area? Become part of an organization that is dedicated to making a difference in both your career and community.

Job Description Summary

The DevOps Engineering Manager is responsible for leading and managing a group of engineers that are responsible for implementing automation solutions that help increase the speed of our ability to deliver features to production. The DevOps Engineering Manager manages the pipeline by which our data engineering teams and release team engage with the infrastructure teams. This role is responsible for developing the configurations for foundational components to build our development environments, and provide guidance, oversight and direction for the projects and how we manage our infrastructure within the cloud and managed application tools that we support or develop.",Mid-Senior level,Full-time,Engineering,Information Technology,https://www.linkedin.com/jobs/view/data-engineering-manager-at-blue-cross-and-blue-shield-of-kansas-city-1872618906?refId=52177222-8942-4679-bd74-3832e5e8358c&position=14&pageNum=29&trk=public_jobs_job-result-card_result-card_full-click
738,Vice President Strategic Partners,Databricks,"San Francisco, CA",,2 weeks ago,"Mission

This role will own the overall business strategy and execution for a strategic cloud partner to elevate our strategic relationship and achieve greater global scale and revenue. This role will own Alliance strategy, partner sales execution and work closely with the Product team on product strategy.

The ideal candidate will have a mix of experiences across business strategy, sales and product with deep experience working with top Public Cloud Partners, This candidate will have demonstrated experience in elevating relationships with Cloud Partner executives and engineering teams while maximizing sales execution collaboratively with Cloud Partner











Databricks’ mission is to accelerate innovation for its customers by unifying Data Science, Engineering and Business. Founded by the original creators of Apache Spark™, Databricks provides a Unified Analytics Platform for data science teams to collaborate with data engineering and lines of business to build data products. Users achieve faster time-to-value with Databricks by creating analytic workflows that go from ETL and interactive exploration to production. The company also makes it easier for its users to focus on their data by providing a fully managed, scalable, and secure cloud infrastructure that reduces operational complexity and total cost of ownership. Databricks, venture-backed by Andreessen Horowitz, NEA and Battery Ventures, among others, has a global customer base that includes Salesforce, Viacom, Shell, and HP. For more information, visit www.databricks.com.

Apache, Apache Spark and Spark are trademarks of the Apache Software Foundation.",Executive,Full-time,Sales,Computer Software,https://www.linkedin.com/jobs/view/vice-president-strategic-partners-at-databricks-1877480531?refId=52177222-8942-4679-bd74-3832e5e8358c&position=15&pageNum=29&trk=public_jobs_job-result-card_result-card_full-click
739,Application Security Engineer,Discovery Inc,"Sterling, VA",,2 weeks ago,"The Role
The Application Security Engineer to work closely with Discovery’s Information Security and Direct-to-Consumer (DTC) teams on initiatives to protect data, services, and technology assets and to design, deploy appropriate, risk-based application security safeguards and technical application security controls.",Mid-Senior level,Full-time,Information Technology,Entertainment,https://www.linkedin.com/jobs/view/application-security-engineer-at-discovery-inc-1863176869?refId=52177222-8942-4679-bd74-3832e5e8358c&position=16&pageNum=29&trk=public_jobs_job-result-card_result-card_full-click
740,Data Governance Engineer,Radiansys Inc.,"San Ramon, CA",Be among the first 25 applicants,,"Details
Requisition ID:  PCGJP00000558
Requisition Title:  Data Governance- Information Technology Contractor
Requisition Location: San Ramon, CA
Contract",Mid-Senior level,Full-time,Engineering,Information Technology,https://www.linkedin.com/jobs/view/data-governance-engineer-at-radiansys-inc-1890313289?refId=52177222-8942-4679-bd74-3832e5e8358c&position=17&pageNum=29&trk=public_jobs_job-result-card_result-card_full-click
741,Data Scientist,Advanced Bio-Logic Solutions Corp.,"Thousand Oaks, CA",,4 weeks ago,"Day To Day Responsibilities
Daily responsibilities will be focused on advancing the machine learning platform and collaborating with partners.
Job Description

Master’s degree
OR
Bachelor’s degree & 2 years of directly related experience
OR
Associate’s degree & 6 years of directly related experience
OR
High school diploma / GED & 8 years of directly related experience


Familiarity with DevOps and good software practices (i.e. version control, continuous integration, test driven development)",Entry level,Full-time,Engineering,Information Technology,https://www.linkedin.com/jobs/view/data-scientist-at-advanced-bio-logic-solutions-corp-1875942605?refId=52177222-8942-4679-bd74-3832e5e8358c&position=18&pageNum=29&trk=public_jobs_job-result-card_result-card_full-click
742,Business Intelligence Analyst,"Georgia IT, Inc.","Irvine, CA",,2 months ago,"Position : Business Intelligence Analyst (Incorta)
Location : Irvine, CA
Experience : 5+ Years

Job Descriptions

Must have prior experience developing business intelligence solutions in large or midsize companies.
Must have experience in reporting and business intelligence solutions (e.g. Incorta, Tableau, Power BI
Must have deep experience in application systems design, testing and implementation.
Successful technical, analytical and problem-solving in a fast-paced environment.
Very detailed-oriented professional with a desire to dig into to the details to understand data and business trends.
Knowledge of FDA cGMP and related regulations and guidelines
Proficiency with MS Office tools.
5+ years of experience in Information Technology with a focus on Business Applications, Data Engineering, Data Architecture, Data Analytics and Science.
Expertise with SQL, SAS, Python or R would be required.
Must have prior experience developing business intelligence solutions in large or midsize companies.
Responsibilities will cover the full spectrum, from initial research and requirements gathering, development and maintenance of ongoing data sources, metrics, reports, analyses, dashboards across cross functional business organizations like Finance, Commercial (Sales & Marketing), Service, Manufacturing, Operations, Quality, Regulatory, R&D and Product lines worldwide.
Function as a technical resource for reporting and analytics projects using technology such as Incorta, Power BI, Tableau, Support business subject matter experts and super users to deliver data analysis to make timely critical business decisions.",Entry level,Full-time,Business Development,Sales,https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-georgia-it-inc-1852582836?refId=52177222-8942-4679-bd74-3832e5e8358c&position=19&pageNum=29&trk=public_jobs_job-result-card_result-card_full-click
743,Data Engineer,US Tech Solutions,"Allentown, PA",,2 days ago,"US Tech Solutions is seeking a “Data Engineer” for a 12+months, contract with one of our top clients in Allentown, PA.

Opportunity Brief -
Job Title: Data Engineer",Associate,Contract,Information Technology,Staffing and Recruiting,https://www.linkedin.com/jobs/view/data-engineer-at-us-tech-solutions-1880422917?refId=52177222-8942-4679-bd74-3832e5e8358c&position=20&pageNum=29&trk=public_jobs_job-result-card_result-card_full-click
744,Senior Scientist,"Praxair, Inc","Newark, NJ",,2 weeks ago,"Praxair Distribution Inc. is seeking a Sr. Scientist to join our team located in Murray Hill, NJ.
    The Senior Scientist will manage and provide technical support in the field of beta and gamma radiation analysis systems.",Mid-Senior level,Full-time,Engineering,Chemicals,https://www.linkedin.com/jobs/view/senior-scientist-at-praxair-inc-1863122957?refId=52177222-8942-4679-bd74-3832e5e8358c&position=21&pageNum=29&trk=public_jobs_job-result-card_result-card_full-click
745,Mechanical Designer (Entry level),RGBSI,"Oshkosh, WI",,1 day ago,"3d cad experience with machining and sheet metal. Tubing or tube steel structures would be nice too. Weldments
Heavy truck or equipment background is desirable.

If they are just out of school, looking for hands on experience / mechanical aptitude / automotive .",Entry level,Contract,Engineering,Design,https://www.linkedin.com/jobs/view/mechanical-designer-entry-level-at-rgbsi-1887467115?refId=52177222-8942-4679-bd74-3832e5e8358c&position=22&pageNum=29&trk=public_jobs_job-result-card_result-card_full-click
746,"Director, Business Intelligence",HMS,"Danvers, MA",,2 months ago,"HMS makes the healthcare system work better for everyone. We fight fraud, waste, and abuse so people have access to healthcare—now and in the future. Using innovative technology and powerful data analytics, we help government and commercial payers reduce costs, increase quality, and achieve regulatory compliance. We also help consumers take a more active role in their own health. Each year, we save our clients billions of dollars while helping people live healthier lives. At HMS, you will develop new skills and build your career in a dynamic industry while making a difference in the lives of others.

We are seeking a who manages the people, priorities, projects and day-to-day work of the Data Warehouse, Data Mart and BI teams. This role would work closely with the VP, Engineering to develop strategic and tactical roadmaps in line with corporate goals and department objectives. This Director also leads teams to high levels of performance relative to roadmap objectives.
















Apr 29, 2020, 6:55:48 PM



USA-Massachusetts-Danvers",Director,Temporary,Business Development,Sales,https://www.linkedin.com/jobs/view/director-business-intelligence-at-hms-1843523373?refId=52177222-8942-4679-bd74-3832e5e8358c&position=23&pageNum=29&trk=public_jobs_job-result-card_result-card_full-click
747,Data Center Marketing Manager,"Adroit Resources, Inc.","Santa Clara, CA",Be among the first 25 applicants,,"The primary responsibilities include but are not limited to:
Create Data Center market technologies in flexion insights
Develop the Market Requirements Document (MRD) – capturing the requirements deemed critical for market acceptance, including the cross-section of customer needs and input, evolving systems  requirements, latest market and industry technology trends, as well as competitive benchmarking and analysis.",Mid-Senior level,Full-time,Engineering,Information Technology,https://www.linkedin.com/jobs/view/data-center-marketing-manager-at-adroit-resources-inc-1913017280?refId=52177222-8942-4679-bd74-3832e5e8358c&position=24&pageNum=29&trk=public_jobs_job-result-card_result-card_full-click
748,Data Architect,Cypress HCM,"Los Angeles County, CA",,,"Responsibilities:
 Modeling\working on dimensional data models. Will need to take a call on the design based on performance, usability and flexibility. Analyze and map requirements to solution and create data models for downstream data consumption layers. Should be able to review and approve different data models.",Mid-Senior level,Contract,Engineering,Retail,https://www.linkedin.com/jobs/view/data-architect-at-cypress-hcm-1887414698?refId=52177222-8942-4679-bd74-3832e5e8358c&position=25&pageNum=29&trk=public_jobs_job-result-card_result-card_full-click
749,Data Engineer,B12,United States,Over 200 applicants,2 days ago,"Data Engineering at B12

B12's engineering team views software as a craft, but improving the world as the reason to practice it. Our engineers are responsible for prioritizing, conceptualizing, co-designing, building, testing, and engaging users for any concept we are building out. We’re generalists in encouraging each other to experience the full stack, but we’re also aware of each other’s preferences in the stack. We mentor and teach where we can, both inside and outside of the company.",Mid-Senior level,Full-time,Information Technology,Engineering,https://www.linkedin.com/jobs/view/data-engineer-at-b12-1782530303?refId=cfb8cf0d-d2ec-4b01-bc86-06c964b547d2&position=1&pageNum=30&trk=public_jobs_job-result-card_result-card_full-click
750,Product Implementation Lead,IQVIA,"Durham, NC",Be among the first 25 applicants,2 weeks ago,"Clinical Data Repository (CDR) is IQVIA’s next-gen clinical data analytics and data engineering platform that supports whole range of new data products with the help of cutting-edge data, analytics and machine learning driven innovations. CDR is envisioned to be a product that will solve data integration, data interoperability, self-serve data discovery and experimentation and machine learning driven automation challenges in Pharmaceutical industry



Product Implementation Lead is a technology leadership role which will run various product design engineering team, will provide tech leadership, design leadership to engineers and will make sure that capabilities are built based on time, are modular and can be extended to enable new product features. Reporting to Product strategy lead for Clinical data repository, this role will have significant opportunities to demonstrate their technology skills to help CDR team build an industry leading data product.









Making a positive impact on human health takes insight, curiosity, and intellectual courage. It takes brave minds, pushing the boundaries to transform healthcare. Regardless of your role, you will have the opportunity to play an important part in helping our clients drive healthcare forward and ultimately improve outcomes for patients.

Forge a career with greater purpose, make an impact, and never stop learning.

IQVIA is an EEO Employer - Minorities/Females/Protected Veterans/Disabled

IQVIA, Inc. provides reasonable accommodations for applicants with disabilities. Applicants who require reasonable accommodation to submit an application for employment or otherwise participate in the application process should contact IQVIA’s Talent Acquisition team at to arrange for such an accommodation.",Not Applicable,Full-time,Product Management,Marketing,https://www.linkedin.com/jobs/view/product-implementation-lead-at-iqvia-1863339572?refId=cfb8cf0d-d2ec-4b01-bc86-06c964b547d2&position=2&pageNum=30&trk=public_jobs_job-result-card_result-card_full-click
751,IT - Data Scientist,Ampcus Inc,"San Francisco, CA",Be among the first 25 applicants,2 months ago,""" Applies machine learning and other analytical modeling methods to develop robust and reliable analytical models, including visualizations, within *** s software development environment. "" Gathers, cleans, transforms, and/or reduces data from dissimilar sources from across ***. "" Collaborates with team members and stakeholders to effectively manage the lifecycle of a model, retraining, replacing or sunsetting models when appropriate. "" Shares and collaborates with other *** data scientists. "" Delivers best-in-class software as part of a software delivery team.

Quals--
Minimum Education/Skills: "" Bachelor s Degree in Econometrics, Economics, Engineering, Mathematics, Applied Sciences, Statistics or job-related discipline or equivalent experience "" Job-related experience, 5 years, OR Master s Degree and job-related experience, 3 years, OR Doctorate Desired Education / Skills: "" Experience with the data science lifecycle, including data engineering, feature engineering, model building and evaluation, model deployment. "" Knowledge of commonly used data science programming languages, packages, and tools, especially Python. "" Understanding of data science/machine learning models and algorithms, not limited to: deep learning (CNN, RNN etc), decision trees (e.g. xgboost, random forest), unsupervised techniques (e.g. clustering, anomaly detection), natural language processing and statistical methods. "" Experience training models in a public cloud environment, using tools such as Jupyter, AWS Sagemaker. "" Ability to synthesize complex information into clear insights and translate those insights into decisions and actions. "" Ability to clearly communicate complex technical details and insights to colleagues and stakeholders. "" Knowledge of the mathematical and statistical fields that underpin data science "" Knowledge of systems thinking and decomposition of complex problems. "" Humble is open to being coached, has high EQ and is self-aware "" Hungry desires to get things done while honoring people, and seeks better ways to do the job "" Collaborative has strong interpersonal skills; cares about and works well with teammates "" Experience working on an agile delivery team, using methods such as Scrum, Kanban.",Entry level,Full-time,Information Technology,Utilities,https://www.linkedin.com/jobs/view/it-data-scientist-at-ampcus-inc-1852341941?refId=cfb8cf0d-d2ec-4b01-bc86-06c964b547d2&position=3&pageNum=30&trk=public_jobs_job-result-card_result-card_full-click
